mu,delay
1.0,0.463815272573197
1.0,0.23184240469718012
1.0,0.4571313011844027
1.0,1.4660580066793978
1.0,0.32463740826857296
1.0,0.8164381282214752
1.0,0.3736541205551361
1.0,0.13538179533907113
1.0,1.600274603943783
1.0,0.013429609641648169
1.0,1.2722925919136097
1.0,0.9687213575867231
1.0,0.5865295199420475
1.0,0.36171044248394346
4.0,0.11691987520693486
4.0,0.04102252181732062
4.0,0.07696702241325848
4.0,0.04618487121778137
4.0,0.008830936759598082
4.0,0.004619679665786849
4.0,0.13661327490287972
4.0,0.922371014645273
4.0,0.23907337400960274
4.0,0.17346186845341915
4.0,0.29588186885572415
4.0,0.2563816367608757
4.0,0.3784188569408047
4.0,0.02591268061582557
4.0,0.27074285085133254
4.0,0.2390193743837903
4.0,0.3255822132232572
4.0,0.1474024133521046
4.0,0.6041607767287042
4.0,0.3174117249946671
4.0,0.1267200567890153
4.0,0.3033310827067653
4.0,0.9510695276008022
4.0,0.21578238844943384
4.0,0.028580349014759015
4.0,0.020333992579021833
4.0,0.009389371620371414
4.0,0.025283788230550643
4.0,0.258190364236286
4.0,0.14477603564213787
